,Customer Name,Ratio Match,Ratio Score,Partial Ratio Match,Partial Score,Token Sort Match,Token Sort Score,Token Set Match,Token Set Score
0,JOHN BROWN,,,,,,,,
1,MIKA ARSHAD,,,PARSHAD ,86,,,,
2,ENRIQUE TORRES GOMEZ,,,,,,,,
3,HUD SALEM,,,,,,,,
4,AMBER DAVIES,,,,,,,,
5,ASGHAR RAHMAN,,,,,,,,
6,CLAYSON BROWN,,,,,,,,
7,NICKO LEWIS,,,,,,,,
8,KNOX LOPEZ,,,,,,,,
9,REHAN MAHMOOD,,,"KOSARAYANIFARD, PEJMAN MAHMOOD; KOSARIAN FARD; KOSARYANI-FARD, PEJMAN; KOSARIAN FARD, PEJMAN; CASARYANIFARD, PEJMAN; KOSARAYAN FARD, ALI PEJMAN MAHMUD; KOSARIAN, AMIR; ",85,,,,
10,MUSHIR DALLAL,,,,,,,,
11,NAJM AL DIN TAWIL,,,JIN TAI ,86,,,,
12,GHAYOOR MOHAMMED,,,,,,,,
13,AAMIR HANA,,,,,,,,
14,GALE PATERSON,,,,,,,,
15,CONSECO LIFE INSURANCE CO,,,,,,,,
16,MARY JONES,,,,,,,,
17,NUSAYR SADEK,,,,,,,,
18,MAKHTOONAH MASIH,,,,,,,,
19,QASID MADANI,,,,,,,,
20,HARVEY W. WATT & CO. INC.,,,,,,,,
21,CLEVE SMITH,,,,,,,,
22,ADDIE THOMPSON,,,,,,,,
23,QBE REINSURANCE CORP,,,,,,,,
24,MUZZAMMIL BASA,,,,,,,,
25,TAITE DAVIES,,,,,,,,
26,BERKIE JONES,,,,,,,,
27,ABDUL MALIK SAHLI,,,,,,,,
28,ABDUL MUNIM FARAH,,,,,,,,
29,ABDUR-RASHEED SULEIMAN,,,,,,,,
30,MUJAZZIZ MOHAMED,,,,,,,,
31,JAD ALLAH SHAER,,,,,,,,
32,FAKHIR SAMAAN,,,,,,,,
33,MILL HALL,,,,,,,,
34,JAQUELYN SMITH,,,,,,,,
35,SUHA SHAKER,,,,,,,,
36,RESHMA BARI,,,,,,,,
37,KARINA LEWIS,,,,,,,,
38,CHRISTOPHER SMITH,,,,,,,,
39,STACY BROWN,,,,,,,,
40,ABRAM DAVIES,,,,,,,,
41,ANDREW STEVENS,,,,,,,,
42,UHBAN SHAHIN,,,,,,,,
43,GEORGES THOMAS,,,,,,,,
44,BRIAN LOPEZ,,,,,,,,
45,MAHJUB MONA,,,,,,,,
46,ABDUL LATIF SALIK,,,"SALEH, DR. ABDUL LATIF; SALEH, ABDUL LATIF A.A.; SALEH, ABDYL LATIF; SALEH, DR. ABD AL-LATIF; SALEH ABU HUSSEIN, ABDUL LATIF A.A.; SALIH, ABD AL-LATIF; ABU AMIR; ",88,,,,
47,SAWAD RAHIM,,,,,,,,
48,NUZHAT CAN,,,,,,,,
49,SHABNAM JAVED,,,,,,,,
50,MUSADDIQ RASUL,,,,,,,,
51,PAUL REVERE LIFE INS CO,,,,,,,,
52,SHAHEEN SAMI,,,,,,,,
53,AMR REZA,,,"NAQDI, MOHAMMAD REZA; NAGHDI, MOHAMMAD REZA; SHAMS, MOHAMMAD REZA; NAQDI, MUHAMMAD; NAQDI, MOHAMMAD-REZA; NAGHDI, MOHAMMEDREZA; NAQDI, GHOLAMREZA; NAQDI, GHOLAM-REZA; ",88,,,,
54,ABDUL JAWWAD FAROOQUI,,,,,,,,
55,DELAWARE VOL FIREMEN & LADIES AUX,,,,,,,,
56,UBAYD MEER,,,,,,,,
57,SHEHZAAD ABDULLAH,,,,,,,,
58,MUHANNA HABIBI,,,,,,,,
59,IRFAN POPAL,,,,,,,,
60,DURAND SMITH,,,,,,,,
61,AL-ARABI TRADING COMPANY LIMITED,AL-ARABI TRADING COMPANY LIMITED ,100,AL-ARABI TRADING COMPANY LIMITED ,100,AL-ARABI TRADING COMPANY LIMITED ,100,AL-ARABI TRADING COMPANY LIMITED ,100
62,UNITED STATES F&G COMPANY,,,,,,,,
63,GHUMAYSA HABIBI,,,,,,,,
64,YUSRI ABDELRAHMAN,,,,,,,,
65,RADI SIDDIQUE,,,JAMAAT-UL-AHRAR; JAMAATUL AHRAR; JAMAATUL-AHRAR; JAMAT-UL-AHRAR; AAFIA SIDDIQUE BRIGADE; JAMAAT-E-AHRAR; JAMATUL AHRAR; TEHREEK-I-TALIBAN JAMAAT-UL-AHRAR; TEHRIK-E-TALIBAN PAKISTAN JAMAAT-E-AHRAR; JAMAAT-UL-AHRAR TTP;  JUA; TTP-JA; TTP-JUA.,85,,,,
66,FATTAH MINA,,,,,,,,
67,REHANA SIDDIQUE,,,,,,,,
68,NABIL MOHIUDDIN,,,,,,,,
69,SUWAYD ABU,,,,,,,,
70,MUHAJIR ABU,,,"MAHAMED, MOSTAFA; ABDEL HAMID, MOSTAFA MOHAMED; FARAG, MOSTAFA MOHAMED;  AL-MASRI, ABU SULAYMAN; AL MUHAJIR, ABU SULAYMAN; AL AUSTRALI, ABU SULAYMAN; AL USTRALI, ABU SULAYMAN",91,,,"MAHAMED, MOSTAFA; ABDEL HAMID, MOSTAFA MOHAMED; FARAG, MOSTAFA MOHAMED;  AL-MASRI, ABU SULAYMAN; AL MUHAJIR, ABU SULAYMAN; AL AUSTRALI, ABU SULAYMAN; AL USTRALI, ABU SULAYMAN",100
71,JARIB MORRIS,,,,,,,,
72,"ANCILLARY CARE MANAGEMENT, INC.",,,,,,,,
73,ERNEST GARCIA,,,,,,,,
74,FIRAS SALADIN,,,,,,,,
75,AKBAR TAHERI,,,,,,,,
76,ABDUL HASIB JAN,,,,,,,,
77,SHAMIL GHATTAS,,,,,,,,
78,MUSAID ATALLAH,,,,,,,,
79,ZAKWAN MASRI,,,,,,,,
80,SHARIQ IMAM,,,,,,,,
81,DIYA AL DIN AMBER,,,,,,,,
82,ABDUL-HAMEED KALIL,,,,,,,,
83,AMBREEN SHABAZZ,,,,,,,,
84,MUNKADIR MASIH,,,,,,,,
85,AUBE JONES,,,,,,,,
86,OSAMA MALIK,,,,,,,,
87,CROSS BAKER,,,,,,,,
88,KISHWAR HAMADY,,,,,,,,
89,ONFROI MARTIN,,,ARTIN ,100,,,,
90,HADDAD ISLAM,,,,,,,,
91,U.S. ROBOTICS AND MECHANICAL MEN,,,,,,,,
92,ABDUL-HADI HUSAIN,,,,,,,,
93,MALCHY JONES,,,,,,,,
94,SYLVESTER GREEN,,,,,,,,
95,HUZAYL REZA,,,,,,,,
96,QAREEB HABEEB,,,,,,,,
97,SABAHAT OBEID,,,,,,,,
98,ANTONI SMITH,,,,,,,,
99,DIONYSUS SMITH,,,,,,,,
100,WALA ZAFAR,,,,,,,,
101,SAROSH EID,,,,,,,,
102,LUAY HANA,,,,,,,,
103,ADEEL AMBER,,,,,,,,
104,MOOBY''S ,,,,,,,,
105,BENYAMIN JONES,,,,,,,,
106,AAMIL AGHA,,,,,,,,
107,ABDUL ALEEM SESAY,,,,,,,,
108,MISBAH MUHAMMED,,,"LUMISA, MUHAMMED; LUMISA, MUHAMAD;  LUMINSA; LUMWISA; KATO, L.; MUKADE; MUKAKE.",87,,,,
109,WAHAB OMAR,,,,,,,,
110,SHAUKAT ASLAM,,,,,,,,
111,QUDAMAH SALIK,,,,,,,,
112,"AICCO, INC.",,,,,,,,
113,COREY TAYLOR,,,,,,,,
114,AJEEBAH ALLI,,,,,,,,
115,MUTAWALLI SAEED,,,,,,,,
116,RAYANN SHAIKH,,,,,,,,
117,LAMAR JONES,,,,,,,,
118,SAYYAR DIA,,,,,,,,
119,RASEEM KHALIL,,,"KHALIL, IBRAHIM MOHAMED; JASSEM, KHALIL IBRAHIM; MOHAMMAD, KHALIL IBRAHIM; AL ZAFIRI, KHALIL IBRAHIM; ",85,,,,
120,MURSAL DOUD,,,,,,,,
121,STEFANIE WILSON,,,,,,,,
122,SUHAIL LODI,,,,,,,,
